Job Title,Company,Job Brief,Deadline Date,Job Description
Business Winning Graduate,BAE Systems Australia,Get your career off to a great start as a Business Winning Graduate in our 2025 Graduate Program!,26 Apr 2024,"Start in February 2024
Get your graduate career off to a great start!
Tailored graduate program
About BAE Systems:
BAE Systems Australia develops the latest technologies, capabilities and infrastructure to protect the people of the Australian Defence Force. As a Graduate, you’ll play a role in helping us to deliver this, supporting multi-billion dollar programs across every Australian Defence domain – air, land, sea and space. 
About Our Graduate Program:
Our Graduate program follows a 2+1 structure. 
This provides two years of structured development followed by a tailored (to you) third year which focuses on leadership, innovation and/or focussed development activities that Graduates can select to build their own careers in speciality areas.
Our Graduates enjoy tailored career plans, extensive training and development opportunities, mentoring and competitive salaries.  Our passion for inclusion, respect and support you will ensure your career has the best start possible. 
Throughout our 2+1 Program, you will enjoy structured development, annual salary reviews and the mentoring of a Graduate Program Support Manager.  Your career will be off to a great start, as our program provides Graduates with meaningful, challenging work, and will provide you with an enriched development experience.
We provide more choices and opportunities for career success and we couldn’t be more excited!
About the Opportunity:
As a Graduate within our Future Business function, whilst developing yourself, you will provide support and assistance to Managers, teams and projects within the business. 
This position will be offered as a 1 option.
As part of the graduate program, you will work in one project/department for the duration of your program. As a result, you’ll enjoy stability and the opportunity to develop deep knowledge of that domain.  Whilst your experiences will vary, this will be a non-rotational program.
For more information on our Graduate program, please visit https://www.baesystems.com/en-aus/careers/graduate-and-early-careers
As a Business Graduate at BAE Systems, you will:
Have involvement in strategy work for the Future Business function and broader functions across the company.
Exposure to leaders within BAE that Graduates are unlikely to gain access to anywhere else within their career, and have the ability to develop knowledge and build a rapport with leaders.
Engage in business development work where Graduates will engage and assist in proposals, development and capture areas.
Continued business development work within the Future Business function, and worked collaboratively across other functional teams to achieve required outcomes for the company and stakeholders/customers.
These opportunities will be available in:
Osborne, SA
Adelaide, SA
Edinburgh  Parks, SA
About You:
BAE Systems has a strong focus on operational excellence and business values. For this, you will demonstrate: 
Strategic vision
Adaptability
Effective collaboration skills
Honesty & integrity
To be eligible, you must be due to complete your studies in 2024 (or have already completed) a University degree qualification in an appropriate discipline. 
You will also need demonstrated teamwork and communication skills coupled with a desire to grow and learn.  
Due to the nature of our work, you'll also need to be an Australian Citizen and eligible for Australian Defence Security Clearance.
Applications will close on Friday 26th April 2024.
Applications are to be made online and must include:
Current resume and cover letter
Academic transcripts to date (do not need to be official)
Unfortunately, applications without a current resume and a copy of an academic transcript cannot be considered.
What’s next? 
Short-listed applicants will be invited to participate in a 1-way video interview. Subsequent stages of the process will include a form of an interview, either in person or virtually. Once this interview stage has been completed preferred candidates will be sent background screening and pre-employment health assessments. Once all checks have been completed, successful candidates will be notified, and as we are a Circle Back Initiative all other applicants will receive a notification either via email or phone call.
We welcome and strongly encourage applications from women, Aboriginal and Torres Strait Islanders and Veterans for these opportunities.  An inclusive culture and an exciting, supportive start to your career await!"
Graduate Program,Mars,"Join one of the most successful, privately owned multi-national companies in the world. Apply to Mars today!","Australia
Australian Citizen
Australian Permanent Resident",N/A
Graduate Program,Bunzl APAC,"Are you a Grad looking for a challenging place to start your career? Positions open in Sydney, Melbourne, Brisbane (AUS) and Auckland (NZ).",1 May 2024,"BENEFITS
Bunzl offers a broad and flexible range of benefits to our team including a profit share scheme for eligible employees, health insurance products, travel and accommodation discounts, study assistance, many well-being and community programs and access to thousands of discounts through Perkbox.
ABOUT YOU
Recently completed tertiary qualifications in Business, Commerce, Finance, Economics, Engineering, Arts, Science or related fields
High level of computer literacy, including proficiency with Microsoft Office
Excellent communication and presentation skills
Strong attention to detail and problem-solving abilities
Motivated and eager to learn and continuously improve business processes
OUR GRADUATE PROGRAM
Our graduate program is designed to empower students from diverse fields by equipping them with the necessary skills and resources to thrive in their chosen career paths. Graduates will be allocated to join either the Commercial, Operations or Analytics program, which involves 4 rotations throughout the year, with the potential to work across multiple sites and gain a wide range of experiences.
We are committed to providing our graduates with continuous training and development opportunities, fostering a supportive and inclusive work environment that encourages open communication and collaboration across all levels. 
Few entry-level roles are currently open for an immediate intake - if you have full rights for work in Australia and are available immediately, this is also an opportunity for you!
WHY BUNZL?
Bunzl Asia Pacific (APAC) is a leader in the marketing and distribution of a diverse non-food consumable product range across a wide variety of industry sectors. We supply cleaning and hygiene supplies and catering equipment to personal protection equipment and healthcare consumables just to list a few. Our main goal is to support businesses worldwide with the essential products needed to successfully operate their business, with a particular focus on sustainability. Many people use a Bunzl product every day of their lives without even knowing it!"
Graduate Program,BHP,BHP is seeking students studying from a range of degrees for 2025 Graduate positions across Australia.,3 Apr 2024,"At BHP, our purpose is to bring people and resources together to build a better world. We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come.
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them. 
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you!
Graduate program
You’ll complete structured course work, learn on-the-job and contribute to business and technical projects.  Working with the latest technologies, you’ll collaborate on projects across multiple disciplines and be supported and coached to deliver successful business outcomes. It’s a challenging program but by its conclusion, you’ll have made a genuine impact on the business. 
Disciplines and locations
You could be studying from a range of degrees that include (but not limited) to:
Engineering: Mining, Mechanical, Mechatronics, Electrical, Mine Geotechnical, Civil, Metallurgy / Minerals Processing, Chemical, Construction
Science: Earth Science / Geology (Honours / Masters), Hydrogeology, Environmental, Physics, Chemistry, Spatial Science (Surveying)
Health Science: Safety, Health, Occupational Hygiene, Medical Radiation, Toxicology
Technology: Computer Science, Data Science, Cybersecurity, Maths and Statistics
Business: Finance, Accounting, Commerce
Our Australian graduate opportunities for engineering and science will be residential or Fly-In-Fly-Out (FIFO), either way giving you the chance to support and live in a thriving local community. Roles such as Technology will support our operations from our city locations, but they are never far from the action.
Supporting a Diverse Workforce

The size and magnitude of our business not only provides significant opportunity for professional development but also attractive salary packages with performance-based bonuses and a unique BHP employee share program. 
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms. 
Pre-register:
The future is clear if we continue to think big. Pre-register here so you'll get notified once this opportunity is open!"
Graduate Program,Thiess,"Over the two year program, graduates will undertake two 12-month rotations with placements in various roles, projects and functions.",7 Apr 2024,"Experience more opportunities
With a global business, we offer diverse and rewarding careers. We are committed to Thiess being a company and a culture where great people can excel and where they are developed and supported to reach their highest potential. Join our team today.
About our Graduate Program
Our graduate program provides the opportunity to learn, develop and gain exposure to our business and the industry, working alongside senior professionals who will guide your learning and development journey.
As a Thiess graduate, you will have access to structured, on-the-job training, guided learning plans, a mentor and additional professional development opportunities. Over our two-year program, you will experience up to two 12-month rotations with placements in various roles and projects. Having the opportunity to rotate across different teams as well as projects will provide you with greater opportunities to build your career.
As a Thiess Graduate, you will need to have the ability to:
Learn new skills, be flexible and adaptive
Problem solve and analyse
Work collaboratively
Innovate and propose creative solutions
Communicate effectively
Relocate to various sites and projects, as required by program rotations.
Thiess is now looking across Australia for students or recent graduates across the following disciplines:
Engineering (Civil & Mining, Electrical, Mechanical, Mechatronics)
Geology
Surveying
Environment
Digital & Technology (Cyber Security, Digital Transformation, ICT Operations)
Finance & Accounting
Health & Safety
Locations for these roles include South-East & Central Queensland and Hunter Valley, New South Wales.
What Thiess can do for you
Thiess’ commitment to ongoing training & development
Role-specific training
Health & wellbeing rewards program through AIA Vitality
Salary continuance insurance
Salary sacrifice options – Flights & novated leasing
Range of corporate discounts including health insurance (Medibank), travel & retail products.
About us
We partner with our clients to deliver excellence in open cut and underground mining in Australia, Asia, Africa and the Americas. For more than 80 years, we’ve operated in diverse commodities, geologies, environments and cultures. Our team uses that insight to optimise solutions for each project and create lasting value for our clients and the communities in which we live and work.
We recognise the value of an inclusive and diverse workplace through our vision of everyone matters always. We’re focused on creating an inclusive environment to allow our people to bring their best selves to work because they feel safe, included and empowered. 
Visit our website to learn more.
How to apply
Our program is an opportunity to take the first step in your career. With our culture of recognition, development, and a stimulating and satisfying work environment, there is no better time to join Thiess."
Electrical Engineer Graduate,ACCIONA Australia and New Zealand,Empowering a Sustainable Future: Kickstart Your Career as a Graduate Electrical Engineer with ACCIONA!,20 Oct 2024,"ACCIONA’S Graduate Program 2024! 
Come and join us in building the infrastructure our planet needs to achieve a sustainable future. 
ACCIONA Graduate Program
The ACCIONA Australia and New Zealand Graduate Program is a unique postgraduate development and training program that is designed to provide a comprehensive and hands on experience to graduates, helping them develop their capabilities and succeed in their careers with ACCIONA. 
Elements of the ACCIONA Graduate Program:
Kick off with a National Induction
Participate in 2 to 4 rotations to gain a breadth of experience
Site visits to some of Australia’s flagship sustainable infrastructure projects
Practical lunch and learns presented by ACCIONA senior leaders and subject matter experts
Team up with other ACCIONA graduates from different countries and cultures through our Global Graduate Program
Complete an exclusive international development program in collaboration with the Comillas Pontifical University (Madrid)
Flexible time frame, achieved through our self-paced competency framework.
ACCIONA key Employee Programs:
Gender neutral parental leave
Salary packaging including car leasing
Flexible working equipment program
Flexible working model – core flexibility and elective flexibility
Corporate income protection
Professional development through ACCIONA talent programs and the ACCIONA Learning Ecosystem
Career development via ongoing career conversations
Health and wellbeing programs including discounted private health insurance and our Employee Assistance Program
Flu vaccinations and skin checks
Vacation care program
Free membership to The National Association of Women in Construction (NAWIC)
Eligibility for the ACCIONA Graduate Program:
Bachelor’s degree or tertiary qualification in Bachelor of Engineering - Electrical Engineering or Mechatronics, or related field
No prior full-time work experience required, although internship and undergraduate experience in Electrical Engineering or related field is highly desirable.
Full working rights in Australia or New Zealand
Full completion of undergraduate level study with an Australian or New Zealand University within the last 3 years (2021 – 2023)
High degree of passion and ambition to work in the construction industry and help transform communities and change landscapes
Mobility, flexibility and the desire to work on construction projects locally, regionally and interstate
Commitment to building the infrastructure our planet needs to achieve a sustainable future.
We are looking for Graduates in:
New South Wales
South Australia
ACCIONA graduate recruitment process round 2:
September/October: Submit your 10-minute application
October/November: Shortlisted candidates complete a 10 to 15-minute one way video interview providing insight into your unique personality
November: If successful you will be invited to attend a face-to-face behavioural based interview with a HR representative and a senior leader
December: Formal offer to join ACCIONA’s graduate program
Monday 29th January: Program commencement. Early entry opportunities may also be available."
Mechanical Engineer Graduate,ACCIONA Australia and New Zealand,"Engineering Efficiency, Sustaining Progress: Begin Your Journey as a Graduate Mechanical Engineer with ACCIONA!",20 Oct 2024,"ACCIONA’S Graduate Program 2024! 
Come and join us in building the infrastructure our planet needs to achieve a sustainable future. 
ACCIONA Graduate Program
The ACCIONA Australia and New Zealand Graduate Program is a unique postgraduate development and training program that is designed to provide a comprehensive and hands on experience to graduates, helping them develop their capabilities and succeed in their careers with ACCIONA. 
Elements of the ACCIONA Graduate Program:
Kick off with a National Induction
Participate in 2 to 4 rotations to gain a breadth of experience
Site visits to some of Australia’s flagship sustainable infrastructure projects
Practical lunch and learns presented by ACCIONA senior leaders and subject matter experts
Team up with other ACCIONA graduates from different countries and cultures through our Global Graduate Program
Complete an exclusive international development program in collaboration with the Comillas Pontifical University (Madrid)
Flexible time frame, achieved through our self-paced competency framework.
ACCIONA key Employee Programs:
Gender neutral parental leave
Salary packaging including car leasing
Flexible working equipment program
Flexible working model – core flexibility and elective flexibility
Corporate income protection
Professional development through ACCIONA talent programs and the ACCIONA Learning Ecosystem
Career development via ongoing career conversations
Health and wellbeing programs including discounted private health insurance and our Employee Assistance Program
Flu vaccinations and skin checks
Vacation care program
Free membership to The National Association of Women in Construction (NAWIC).
Eligibility for the ACCIONA Graduate Program:
Bachelor’s degree or tertiary qualification in Bachelor of Engineering - Mechanical Engineering or Mechatronics, or related field
No prior full-time work experience required, although internship and undergraduate experience in Mechanical Engineering or related field is highly desirable
Full working rights in Australia or New Zealand
Full completion of undergraduate level study with an Australian or New Zealand University within the last 3 years (2021 – 2023)
High degree of passion and ambition to work in the construction industry and help transform communities and change landscapes
Mobility, flexibility and the desire to work on construction projects locally, regionally and interstate
Commitment to building the infrastructure our planet needs to achieve a sustainable future.
We are looking for Graduates in:
Queensland
South Australia
Western Australia
ACCIONA graduate recruitment process round 2:
September/October: Submit your 10-minute application
October/November: Shortlisted candidates complete a 10 to 15-minute one way video interview providing insight into your unique personality
November: If successful you will be invited to attend a face-to-face behavioural based interview with a HR representative and a senior leader
December: Formal offer to join ACCIONA’s graduate program
Monday 29th January: Program commencement. Early entry opportunities may also be available."
Graduate Program,Boeing Australia,Pre-register your interest in our next Graduate Program to support our cutting-edge aviation platforms.,1 May 2024,"Do work that matters 
At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are core values. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us! Pre-register now! 
About the opportunity
Our dynamic 2-year program for recent university grads supports graduates in their transition from university to full-time work. The program includes graduates in a wide variety of engineering and business roles. 
The Graduate program aims to equip grads with the skills necessary to excel in their career at Boeing. Through their first year, graduates attend structured learning sessions to refine their interpersonal skills. To further develop their technical skillset, graduates are encouraged to explore different roles and programs available at the company. 
The program also plans networking and social events to provide opportunities for current grads to connect with grad alumni, managers, and senior leaders at the company. 
Our selection depends on business needs across Boeing Defence Australia, Boeing Aerostructures Australia, Insitu, Boeing Research & Technology Australia and Phantom Works International. 
Pre-register
Pre-register here so you'll get notified once the opportunity is open!
We are committed to building a diverse and inclusive workplace. Female applicants, people of Aboriginal or Torres Strait Island descent and ex-Defence personnel are encouraged to apply."
Graduate Opportunities,Harvey Norman,As Graduate your journey will challenge & reward you exposing you to the iconic Australian brand & international leader in the home & lifestyle space.,15 Oct 2025,"The Harvey Norman Graduate Opportunity is designed to take Today’s Graduates and develop them into Tomorrow’s Leaders through a structured 12-18 month journey commencing in either August 2025 or February 2026.
You will be teamed up with the best people as you learn the many facets of running a successful retail business where no two days are the same – including helping customers with purchasing decisions, arranging local adverts, influencing product merchandising, reviewing sales budgets and KPI’s, maintaining effective supplier relationships, and leading and managing junior team members.
To support you on your journey from a Graduate to a Leader, you will be offered:
On-the-job training by leading business owners
Exposure to different retail lines of business – chose to learn in bedding, bathrooms electrical, flooring, furniture, or technology & entertainment
An opportunity to partner with a mentor for support and guidance throughout your journey
Executive leaders who are invested in your growth and development
Effect impactful business change – pitch and implement improvements
Be the master of your destiny – you chose where the journey takes you
Invitations to exclusive Graduate workshops and training
Exposure to a variety of business management styles
Be heard – we value your input and feedback
Opportunity to travel and move to different areas of the country
Uncapped earning potential – guaranteed base of $55,000 + uncapped commissions + superannuation
Be successful, and at the end of your Graduate journey, a franchise may offer you a role as a Proprietor in Training with the hopes for you to, one day, become a leader (and owner) of your own franchise.
Eligibility
To be considered you will have:
Completed a University degree within the last 3 years
Permanent Resident or Citizen of Australia or New Zealand 
The flexibility to travel and willingness to move locations within Australia
The ability to commence full-time work in August 2025 or February 2026
Are you ready to start your journey from a Graduate to a Leader? Pre-register now!"
Mining Engineer - Graduate Program,BHP,BHP is seeking students studying Mining Engineering or related degrees for Graduate roles across Australia. Applications are open until 10 April 2023,10 Apr 2024,"To help build a better world, we need the best and brightest. 
Why not you? 
At BHP, our purpose is to bring people and resources together to build a better world.  We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come. 
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them.   
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you? 
About the Role 
As a BHP Mining Engineer Graduate, your 24-month graduate program is a balanced approach to building your technical and professional capabilities through structured course work and learning on the job. When you start, you’ll be given a buddy who will show you the ropes and gain access to our mentor program to help shape your career.  
As BHP Graduate, you will:  
Technical design activities for pits, waste dumps and infrastructure 
Schedule mine, dewatering and closure operations 
Collaborate on projects across multiple disciplines 
Contribute to improvement initiatives 
Attend technical forums where you will hear inspiring presentations, participate in activities focused on expanding your technical knowledge and networking with other graduates.  
What we offer our Graduates 
A permanent position is on offer 
Rotate into different teams 2-4 times 
Work alongside industry leaders to develop your technical capabilities 
An attractive salary package plus a performance-based bonus 
Employee share program and great employee discounts 
An ongoing commitment to your well-being. 
What we are looking for 
You will have already graduated in 2022 or 2023 or be eligible for graduation by the end of 2024. Your degree could be from one of the following (but not limited) to:  
Mining Engineering, Mine Geotechnical, Civil Engineering.  
As our mining engineering graduate opportunities are residentially based near our mining operations or require you to work on a Fly-In-Fly-Out (FIFO) roster, it is important that you are willing to consider either of these arrangements to undertake a grad role. 
International students who have a valid visa with no work restrictions are eligible to apply. 
About Our Process  
At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks.  
Supporting a Diverse Workforce   
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms.  
Apply now
The future is clear, if we continue to think big. To discover how, visit Australia graduate and student programs | BHP."
Indigenous Graduate Program,BHP,BHP is seeking Aboriginal and Torres Strait Islander students studying from a range of degrees for 2024 Graduate positions across Australia.,10 Apr 2024,"To help build a better world, we need the best and brightest. 
Why not you? 
At BHP, our purpose is to bring people and resources together to build a better world.  We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come. 
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them.   
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you? 
About the Role 
As a BHP Graduate, your 24-month graduate program is a balanced approach to building your technical and professional capabilities through structured course work and learning on the job. When you start, you’ll be given a buddy who will show you the ropes and gain access to our mentor program to help shape your career.  
As BHP Graduate, you will:  
Rotate into different teams 2-4 times 
Work alongside industry leaders 
Collaborate on projects across multiple disciplines 
Contribute to improvement initiatives 
Attend technical forums where you will hear inspiring presentations, participate in activities focused on expanding your technical knowledge and networking with other graduates.  
What we offer our Graduates 
A permanent position is on offer. 
An attractive salary package plus a performance based bonus 
Employee share program and great employee discounts 
An ongoing commitment to your well-being. 
What we are looking for 
You will have already graduated in 2022 or 2023 or be eligible for graduation by the end of 2024.  Your degree could be from one of the following (but not limited) to: 
Engineering: Mining, Mechanical, Mechatronics, Electrical, Mine Geotechnical, Civil, Metallurgy / Minerals Processing, Chemical, Construction Management, Instrumentation Control and Automation, Structural, Quantity Surveying 
Science: Earth Science / Geology, Hydrogeology, Environmental, Chemistry, Spatial Science (Surveying), GIS  
Health Science: Safety, Health, Nursing, Paramedical Science 
Technology: Computer Science, Data Science, Cybersecurity, Maths and Statistics 
Business: Commerce. Finance, Economics, Accounting, Law 
As our graduate opportunities for engineering and science are residentially based near our mining operations or require you to work on a Fly-In-Fly-Out (FIFO) roster, it is important that you are willing to consider either of these arrangements to undertake a grad role. Roles such as Technology and Commercial will support our operations from our city locations, but they are never far from the action. 
About Our Process  
At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks.  
Supporting a Diverse Workforce 
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.  
Providing employment opportunities for Aboriginal and Torres Strait Islander people is an important part of our 2017–2020 Reconciliation Action Plan (RAP). For more information about our RAP, please visit our website.  
The filling of these positions is intended to constitute a special/equal opportunity measure undersection 8(1) of the Racial Discrimination Act 1975 (Cth),and 27 of the Discrimination Act 1991 (ACT)  / s 57 of the Anti-Discrimination Act 1996 (NT) / s 105 of the Anti-Discrimination Act1991 (Qld) / s 65 of the Equal Opportunity Act 1984 (SA) / ss 25 and/or 26 of the Anti-Discrimination Act 1998 (Tas)/ s 12 of the Equal Opportunity Act 2010 (Vic) and s 8(4) of the Charter of Human Rights and Responsibilities Act2006 (Vic) / s 51 of the Equal Opportunity Act 1984 (WA)].s 126 of the Anti-Discrimination Act 1977(NSW) / s 8and 51of the Anti-Discrimination Act 1977(NSW).  
Apply now
The future is clear, if we continue to think big.  To discover how, visit Australia graduate and student programs | BHP."
Graduate Program,BHP,BHP is seeking students studying from a range of degrees for 2025 Graduate positions across Australia.,3 Apr 2024,"At BHP, our purpose is to bring people and resources together to build a better world. We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come.
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them. 
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you!
Graduate program
You’ll complete structured course work, learn on-the-job and contribute to business and technical projects.  Working with the latest technologies, you’ll collaborate on projects across multiple disciplines and be supported and coached to deliver successful business outcomes. It’s a challenging program but by its conclusion, you’ll have made a genuine impact on the business. 
Disciplines and locations
You could be studying from a range of degrees that include (but not limited) to:
Engineering: Mining, Mechanical, Mechatronics, Electrical, Mine Geotechnical, Civil, Metallurgy / Minerals Processing, Chemical, Construction
Science: Earth Science / Geology (Honours / Masters), Hydrogeology, Environmental, Physics, Chemistry, Spatial Science (Surveying)
Health Science: Safety, Health, Occupational Hygiene, Medical Radiation, Toxicology
Technology: Computer Science, Data Science, Cybersecurity, Maths and Statistics
Business: Finance, Accounting, Commerce
Our Australian graduate opportunities for engineering and science will be residential or Fly-In-Fly-Out (FIFO), either way giving you the chance to support and live in a thriving local community. Roles such as Technology will support our operations from our city locations, but they are never far from the action.
Supporting a Diverse Workforce

The size and magnitude of our business not only provides significant opportunity for professional development but also attractive salary packages with performance-based bonuses and a unique BHP employee share program. 
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms. 
Pre-register:
The future is clear if we continue to think big. Pre-register here so you'll get notified once this opportunity is open!"
Graduate Program,TAL Australia,TAL is an industry leader that has a strong sense of purpose and a culture that is built on serving and helping its customers.,19 Jun 2024,"As a graduate at TAL, we are committed to developing your leadership capability. We are seeking future leaders who want to use their passion and skills to make a difference to the lives of Australians.
Two-year full-time program commencing February 2025
The program consists of six-month rotations across your area of interest plus one rotation outside your selected discipline.
A small cohort of graduates each year, giving you the opportunity to work and contribute to interesting and relevant projects.
Access to industry thought leaders, and support from dedicated sponsors, buddies, and career mentors.
Ongoing professional learning and development programs
Networking with Senior Business Leaders, including our Chief Executive Officer.
Career development pathways tailored to your professional goals
1 week study tour to Dai-Ichi Life head office in Japan.
What we are looking for:
TAL offers Graduate programs across Actuarial, Finance, Marketing, Individual Life (Business) and Group Life (Business), Technology and Cyber.
We are looking for graduates from all disciplines but specifically those who have a passion for developing general business and finance acumen within a leading Australian Insurance Business.
You are in the final year of a university undergraduate or postgraduate degree or have completed your university studies within the past 12 months of applying. This is from the time you complete your final unit or subject, not 12 months from your graduation date.
Be an Australian or New Zealand Citizen or Permanent Resident
Genuine contribution and acts of service within the Australian community
Demonstrated problem-solving skills, and advanced critical and creative thinking
Proven professionalism, leadership readiness, self-awareness, emotional intelligence, and cultural awareness
Benefits:
TAL is committed to providing professional and educational support so that you can excel in your role, in addition to paid exam & study leave.
Company-paid income protection insurance, and life and total + permanent disability insurance.
Discounted private health insurance plan with NIB
Wellbeing resources to support your physical, nutritional, mental, and financial health.
Our offices have fitness facilities, with daily onsite classes in Boxing, HIIT, Yoga, Pilates, Zumba.
End of trip facilities including bike racks and showers, or employees are entitled to discounted memberships at nearby gyms.
Discounts on everyday spending at over 350 popular Australian stores.
Community Days - paid leave to give back to the community either volunteering, mentoring, or fundraising causes of your choice.
Blended ways of working - mix of working from home and in the office."
Project Management Graduate Program,Austal Australia,Are you ready to set sail on a career journey and be a part of Australia's leading Shipbuilder for Defence as a prospective Project Management grad?,31 Mar 2024,"Why Austal?
The Austal Graduate Development Program can offer you - 
Professional Development - group and individually focused and networking opportunities
Mentorship - with a Senior Leader
Exposure to Executive Leadership Team
Tailored career development plans (Technical, Business/Leadership or Project Management)
Travel Opportunities - Interstate or International
Paid AIPM Membership
Work on specialised projects
Work towards the environmental and sustainability solutions
9-Day Fortnight Roster
Austal will be looking for Project Management graduates. 
Throughout the graduate program, you will be exposed to rotations across our different departments/disciplines:
Production
Project Management Office
Design & Engineering
Quality
In Service Support
Sales & Business Development
Supply Chain
Strategy
About Austal
Austal is an ASX listed company and is Australia's global shipbuilder, defence Prime contractor and marine technology partner of choice - designing, constructing and supporting defence and commercial ships.
With the company well positioned to grow even further in 2024, there has never been a better time for individuals, businesses and government to ‘Team with Austal’.
Our Australian operations located in Perth, WA, Cairns and Brisbane, QLD and Darwin, NT lead the design, construction and sustainment of maritime vessels for defence.
Eligibility
Graduated in the last 24 months or be completing studies at the end of 2024
Full Australian Working Rights
Must be available to commence in July 2024 or January 2025
Applications
At Austal we are committed to providing a safe and inclusive work environment for all. We believe that achieving greater diversity will enhance our operations and as such we actively encourage Aboriginal & Torres Strait Islanders, people of all backgrounds, ages, sexual orientation, and those with Disability to apply.
Applications will need to be submitted before 11:59pm on 31st March 2024.
Join us by being at the forefront of maritime excellence as we invite aspiring project management graduates to join our company to be a part of our 2050 strategic plan! "
