,Job Title,Job Description,Company Name
73,"2024 RETAIL MANAGEMENT TRAINEE, HONG KONG","POSTE

Program Overview
Do you aspire to be a next generation retail leader at Louis Vuitton? Do you dream of crafting a career within the luxury retail industry? #YourJourneyStartsHere.

Our 24-month Retail Management Trainee Program immerses early career talents in an accelerated learning environment. We offer an international onboarding experience, comprehensive on-the-job training, diverse projects, personalized mentoring, plus frequent exposure and engagement with our leadership team. With ample opportunities to grow, the Program is designed with a long-term view to support your career aspirations as future leaders in the luxury retail sector.





Retail and Corporate Rotations
The Program provides a unique opportunity to rotate and experience life across both Retail and Corporate environments. You will be given multi-faceted operational experience, gain best-in-class industry knowledge, and build practical skills to prepare you to become a future retail leader at Louis Vuitton.

In the Retail function, we offer hands-on experience with Clients and the store team, and you will also be gradually exposed to store management responsibilities. Whilst working in the Corporate environment, you will be assigned to projects designed to familiarize you with the foundations of our business.

Throughout the entire course of your Program, you will be closely partnering across functions to deliver truly excellent client experiences - including Client Development, Merchandising, Events, Public Relations, Retail Performance, Learning & Development, Supply Chain and Logistics.





Regional Exposure
By joining this Program, you will be a member of a close-knit community of fellow Trainees across the North Asia Zone (Hong Kong, Macau, Taiwan and South Korea). There will be opportunities to take part in regional projects and exchanges, as well as access a vast learning and knowledge library. At Louis Vuitton, we have exceptional leaders mentoring you along the way, sharing invaluable career and people advice that will ultimately steer you towards achieving your dream career.




PROFIL

Desired Profiles

Passion for the Louis Vuitton brand
Keen interest to build a career in luxury retail, working towards a store management role
Enjoys working with people with good interpersonal and communication skills
Accountable and self-motivated with confidence
Fast learner with resilience to adapt
Fluency in English and Chinese is strongly preferred
Fresh graduates or talents with less than two years of working experience



Expected Key Competencies

Growth Mindset – Strive for continuous development and learning
Collaboration – Forster a positive team atmosphere and proactivity build networks
Curiosity – Eager to discover and explore Clients and innovative solutions
Empathy – Able to put themselves in the Client’s shoes and create trust
Agility – Adaptable to different Clients and situations
Commercial Mindset – Client-focused, never gives up, takes risks, and moves forward



INFORMATIONS COMPLÉMENTAIRES

Application Timeline

Apr 21, 2024 – CV & Application deadline
(Note: You will have to complete your Vizzy profile within 2 weeks of submitting your CV & Application. Please see below for details.)

Early May 2024 – Group interview
Mid May 2024 – Store tour & case study preparation for finalists
Late May 2024 – Challenge Day for finalists
Jun 2024 – Offer issuance
Jul 2024 – Program commencement




How to Apply

Submit your CV by clicking 'Apply'
Keep an eye on your email inbox from Vizzy.
Complete your Vizzy profile according to the deadline stated in your email. Remember to be creative when creating your profile – show us your passion and personality!




Webinar Registration

There will be 2 Zoom webinar sessions in English to provide you with more information about the Program. During the webinar, you will:

Discover the Louis Vuitton brand and story
Learn about the Retail Management Trainee Program and application process
Get a glimpse into the life of a Retail Management Trainee
Opportunity to interact directly with our Managing Director

Register for a session now by clicking on one of the links below:

Session 1: Mar 25, 2024 (Mon) 10 – 11 AM
Session 2: Mar 27, 2024 (Wed) 10 – 11 AM

We look forward to connecting with you soon! We hope to partner with you in the next chapter of your career journey.",Louis Vuitton
74,Actuarial Graduate Associate | Welcome AUS Graduate !,"Company profile:

Our client is a global risk management research and advisory firm, which provides professional grade services to both individuals and institutions. They are looking for Senior Associates in various actuarial functions.

Responsibilities:

-Work with lead consultants to execute consulting projects, including program design, implementation, and management.

-Serve as a project manager, fostering strong client relations and ensuring client satisfaction.

-Conduct actuarial valuations according to various regulations and reporting standards.

-Advise clients on various program's compliance and recommend best practices.

-Contribute to business development activities, including prospecting and expanding the MPF broking business, while providing ongoing support to human resources.

Qualifications:

-Bachelor's degree in Actuarial or related disciplines.

-Minimum 0-1 years working experience.

-Experience in retirement/pension/related preferred.

-Fluent in English and Chinese, Mandarin is a plus.

-Excellent interpersonal skills and project management skills.

Benefits:

-Inclusive and diverse international working environment.

-Hybrid working options.

-Opportunities for cross-disciplinary exposure.

-Access to and support from rich team of experts, including finance and research teams.

-Competitive package and great benefits for the right candidates.

#Posted by Ahmed

Job Type: Full-time

Salary: From $25,000.00 per month

Benefits:

Meal allowance

Schedule:

Monday to Friday

Language:

English (Preferred)",The Hong Kong Internship Platform
75,Operator - IT Data Centre (Welcome Fresh Graduate),"Responsibilities:
Perform activities for monitoring and managing data center facilities, computer resources utilization, computer server performance, computer operations, batch cycles running and data backup to assure IT systems are running normally within pre-defined schedules and parameters

Assure safe and reliable operations of data center and infrastructure systems on 24x7 basis

Follow operation management procedures with a focus on Incident management, Problem management, Change management, Event management, SLAs, production support practices for the running systems

Conduct production printing activities for business job requests

Follow shift roaster to take shifts and checking of each shift’s operation log

Maintain data center fixed asset inventory and conduct stock taking

Requirements:
Degree or above

Experience in IBM Mainframe system is preferable but not must

Knowledge in Microsoft Windows, Microsoft Office, General computer

Detail-minded, able to work independently and a good team player

Full-time,Permanent",OCBC Bank (Hong Kong) Limited
76,Corporate Management Trainee,"Hong Kong and Shanghai Hotel Limited is currently open for applications to our Corporate Management Trainee (CMT) program for the 2024/2025. This esteemed program offers graduates a unique opportunity to enhance their knowledge and advance their careers within our organization. The duration of the program is 18 months.




Peninsula Merchandising Limited is one of our affiliated companies to participate this program. It specializes in the retail and wholesale sector and has experienced notable global expansion in recent years. By enrolling in our program, graduates will have the chance to immerse themselves in the luxury retail and wholesale industry, gaining invaluable regional exposure in designated markets including China, Japan, and London etc.




Upon successful completion of the program, it prepares trainees for a subsequent Assistant Manager/Supervisory position within our company. This comprehensive training equips them with the essential skills and knowledge required to excel in their future roles.




We take pride in recruiting our talent from diverse and inclusive backgrounds as we strive to create a family oriented and mixed workforce.




Work for a highly prestigious and renowned hospitality group
An exceptional opportunity to be part of a professional team

Key accountabilities:




Gain on-the-job experience by assuming the role and commitment of a full-time position in rotational assignments within PML’s departments and regional exposure.
Support management in successful development and launch of regional projects.
Actively participate in training and development programme and CMT community to foster growth as emerging talents.

Opportunities:




International transfer opportunities are available, subject to position availability and visa approvals.
Receive targeted training and guidance for to facilitate personal and professional growth.
Successful performance, personal development, and adaptability to HSH culture are key factors for promotion to Supervisory or Assistant Manager roles.

General Requirement:




Welcomes fresh graduate or degree holder in any discipline with less than 2 years of working experience.
Passion to develop and demonstrate a strong enthusiasm for the luxury retail and wholesale industry.
Excellent interpersonal and communication skills.
Team players with leadership potential, enthusiasm for excellence, self-motivated and attention to details.
Flexible and handle change and ad-hoc projects.
Excellent command of written and spoken English and Chinese. Expertise in a third language would be desirable.



Please note that the screening of the applications will start on 18/03. We are delighted to receive your application for further consideration. Click apply now with your latest CV and salary information.




About Peninsula Merchandising Limited

Peninsula Merchandising first started selling cakes and chocolates in the 1950’s at The Peninsula Hong Kong. The idea behind the Peninsula Boutiques is to extend the Peninsula brand beyond the locations where we have hotels, by developing and selling a range of artisanal Peninsula branded Chinese and Western teas, chocolates and gifts. The Peninsula Mooncakes are the boutique’s most famous gourmet delicacy and they are now available at more than 30 retail locations worldwide.",HSH Group
77,Graduate Trainee - Operations and Customer Relations,"As a Graduate Trainee in Studio Operations and Customer Relations, your job duties include:

Assisting in the daily operations of the yoga studio, ensuring smooth and efficient functioning.
Greeting and welcoming customers, answering their queries, and providing information about yoga classes, schedules, and packages.
Handling customer registrations, payments, and maintaining accurate records of customer details and transactions.
Assisting in sales and marketing activities, including promoting yoga classes, workshops, and events to attract new customers.
Managing customer feedback and resolving complaints or concerns in a professional and timely manner.
Coordinating and scheduling yoga classes, workshops, and events, ensuring optimal utilization of studio space and resources.
Assisting in maintaining cleanliness and organization of the studio, including yoga props, equipment, and common areas.
Assisting in inventory management, including monitoring and restocking yoga props, merchandise, and other supplies.
Assisting in social media management and content creation to promote the studio and engage with the yoga community.
Supporting the development and implementation of customer retention strategies, such as loyalty programs and special promotions.
Collaborating with instructors, staff, and management to ensure a positive and welcoming environment for all customers.

Here are the job benefits:

Learning Opportunities: As a graduate trainee, you will have the opportunity to learn and understand the operations and customer relations management of a yoga studio. This will help you develop professional skills and knowledge, laying a solid foundation for future career growth.
Fitness Benefits: Being part of a yoga studio, you will have access to the benefits of yoga classes. This not only helps maintain physical health and flexibility but also enhances mental and emotional well-being.
Community Interaction: Yoga studios serve as community gathering places, providing opportunities for you to connect and build relationships with yoga enthusiasts and professionals. This community interaction can bring opportunities for friendship, collaboration, and professional development.
Team Collaboration: you will have the opportunity to work with dynamic and passionate team members. This collaborative environment promotes learning, growth, and mutual support.
Career Growth Potential: Through active involvement in studio operations and customer relations management, you have the potential to develop into senior management positions.

Here are the job requirements:

Associate Degree or above
Good command of English and Cantonese is a must
Proficient in PC applications including Google Suite, MS Word and Excel
Desire to develop a career in a thriving industry and grow with the company
Self-motivated, initiative, mature, good working attitude interpersonal skills
Shift duty is required (commonly 1200-2200 during weekdays / 0900-1900 during weekends)

Job package:

Basic salary up to $20k plus incentive bonus
Free yoga classes during work hour
12 days of annual leave
Birthday leave
5-day work (8 days off per month)

作為工作室運營及客戶關係的實習生，您的工作職責包括：

協助瑜珈工作室的日常運營，確保順暢高效的運作。
迎接和歡迎客戶，回答他們的疑問，提供有關瑜珈課程、時間表和套票的資訊。
處理客戶的註冊、付款事宜，並準確記錄客戶信息和交易記錄。
協助銷售和市場活動，包括推廣瑜珈課程、工作坊和活動，以吸引新客戶。
處理客戶反饋，及時專業地解決投訴或關注事項。
協調和安排瑜珈課程、工作坊和活動的時間表，確保工作室空間和資源的最佳利用。
協助保持工作室的清潔和整潔，包括瑜珈道具、設備和公共區域。
協助庫存管理，包括監控和補充瑜珈道具、商品和其他用品。
協助社交媒體管理和創建內容，以推廣工作室並與瑜珈社群互動。
支持客戶保持策略的發展和實施，如忠誠計劃和特別促銷活動。
與導師、員工和管理層合作，確保為所有客戶營造積極和友好的環境。

未來發展及機會：

學習機會：作為畢業生實習生，您將有機會學習和瞭解瑜珈工作室的運營和客戶關係管理。這將有助於您發展專業技能和知識，為未來的職業發展打下堅實基礎。
健身福利：作為瑜珈工作室的一員，您將能夠免費享受瑜珈課程的好處。這不僅有助於保持身體健康和靈活性，還能提升心理和情緒的健康。
人際互動：瑜珈工作室是一個聚集地，您將有機會與瑜珈愛好者和專業人士建立聯繫和人際關係。這種人際互動可以帶來友誼、合作和專業發展的機會。
團隊合作：您將有機會與充滿活力和熱情的團隊成員合作。這種合作環境可以促進學習、成長和互相支持。
職業成長潛力：通過積極參與工作室運營和客戶關係管理，您有機會發展成為瑜珈工作室的高級管理職位。

職位要求：

大專學歷或以上
良好的英語，必須能聽及說粤語
熟練電腦應用，包括Google Suite、MS Word和Excel
渴望在蓬勃發展的瑜伽行業中發展職業生涯並與公司共同成長
主動性強，成熟，良好的工作態度和人際交往能力
需要輪班工作（通常平日1200-2200 / 周末0900-1900）

福利包括：

基本工資可高達HKD20,000，外加獎金
可於工作時間內享受免費瑜珈課程
12天的年假
生日假
五天工作周（每月例休8天）

Job Type: Full-time

Salary: Up to $22,000.00 per month

Benefits:

Additional leave
Flexible schedule
Gym membership
Opportunities for promotion

Schedule:

Shift system

Supplemental pay types:

Attendance bonus
Performance bonus

Application Question(s):

Are you willing to work night shift (off work at 10pm)?

Education:

Associate Degree / Higher Diploma (Preferred)

Language:

Cantonese (Required)",B Yoga
78,Clerical Trainee (U Fresh Graduates),"Requirements:

Degree Fresh holder
With Internship experience is much preferred
MNC Firm
Good written and speaking in English, Mandarin
Good in PC Skills
Willing to learn
Immediately available is much preferred

Salary: 18K

(Central, Monday – Friday (9:00am - 5:45pm), Medical, Dental, year end bonus, 14 days annual leave)

Job Type: Full-time

Salary: $18,000.00 per month

Benefits:

Dental insurance
Medical Insurance

Schedule:

Monday to Friday

Supplemental pay types:

Yearly bonus",A.I. Pacific Consultants
79,Programmers / Analyst Programmer (Java) - Fresh Graduate Welcome,"Founded in 1998, Shiji’s aim is to become a “big data” application service platform operator. Shiji has become the leading manufacturer of Chinese hotel information systems after three successful transformations. At the same time, Shiji is gradually expanding from hotel to catering and retail industries, becoming the major software supplier to both industries. Now, Shiji is responsible for approximately 60% to 70% of the market share in the high end sector of hotel and retail industries, and possesses a leading position in the catering industry. The estimated annual revenue of Shiji clients can be more than RMB 5 trillion. Shiji has completed three successful transformations since its establishment. It is now experiencing the 4th transformation dedicating to be a “big data” driven consumer application service platform operator. Shiji has introduced consulting, IT solutions and data platform services. Meanwhile, Shiji is developing worldwide leading products and technologies aiming for the international market and speeding up its globalization progress. Currently Shiji has more than 50 subsidiaries located in major Chinese cities and overseas markets (Singapore and Munich) with over 3,000 employees.

For further information about us, please visit http://www.shijigroup.com/.

Responsibilities:
Deliver good codes in Cloud POS and other modules Development for Hotels, Theme Parks, and Restaurants
Develop Cloud API for partners and customers to build their own app to integrate to our cloud infrastructure
Learn and conform development standards and processes throughout the development life cycle
Work as a team to contribute on tertiary level application support for global implementations
Work on Agile Scrum Development methodology

Requirements:
Bachelor Degree holder in Computer Science or related disciplines
Hands on experience in Java
Experience in Network Programming, Multi-threading Programming, MySQL Database Programming is a plus
Good communication skills
Self-motivation and can work independently under pressure
Good command of both spoken and written English and Chinese. Mandarin is an advantage.
3 years of experience can apply for Analyst Programmer
Candidates with less experience will be considered as Programmer

Interested parties please click ""Apply Now"" and attach your updated resume with date of availability and expected salary.

Personal information collected will be used for recruitment purpose only and will be kept strictly confidential for six months.

Full-time,Permanent",Shiji Information Technology (Hong Kong) Limited
80,Media Executive - Buying Team (Fresh Graduate Welcome),"Liaise with both traditional and digital media vendors on buying cost
Optimization of media budget and...

Roles and responsibilities

Liaise with both traditional and digital media vendors on buying cost
Optimization of media budget and provide the best value/solution for the client
Participate in implementing an integrated traditional and digital advertising campaign from material co-ordination, booking, post campaign reporting/evaluation to monthly billing
Keep monitoring the advertising market change, client’s competitors’ move and the transformation of media consumption behavior
Initiate “out-of-box” ideas to your client

Requirements

Tertiary education or above
Fluent in English and Cantonese & Mandarin, both written and spoken language skills
Detail oriented, organized and sensitive to numbers
A good team player with good communication skills and self-motivated
Able to work under pressure with limited turnaround time
Good PC skill, especially in excel, PowerPoint & internet operations, proficiency in full suite of Microsoft Office
Immediate available is preferred

We offer 5 days work and attractive compensation package to suitable candidates. Interested parties, please send your full resume including your present & expected salary to us.
Please note that only short-listed applicants will be notified. All information provided will be treated in strictly confidential and used solely for recruitment purpose.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",iProspect Hong Kong Limited
81,"Assistant Manager, Regulatory Reporting (Fresh Graduate is welcomed)","Responsibilities:
Assists to ensuring compliance with MAS, HKMA reporting requirements as well as disclosure notes.

Responsible for the preparation of

HKMA Returns and Surveys

Head Office reporting

Interim and annual financial statements

Internal management reports

Other ad hoc reports

Participate in system enhancement and data quality improvement

Participate in projects for new and changing regulatory requirements

Participate in ad hoc projects assigned by the supervisor

Requirements:
Bachelor's degree in business, accounting, or related discipline

Minimum 2 years of experience in banking or accounting

A professional accounting qualification is an advantage

Sound knowledge of HKMA/MAS reporting and accounting standards

Proficient in PC applications, including MS Word and Excel

Good communication, interpersonal & presentation skills in both Chinese and English

Candidates with less experience or new graduates will be considered for a junior position

Full-time,Permanent",OCBC Bank (Hong Kong) Limited
82,"Service Administrator (5 Days Work, Fresh Graduates are Welcome)","Automated Systems (H.K.) Limited (ASL) has a distinguished and proud reputation of more than 40 years of successful business in Hong Kong and surrounding regions with our customers, partners and vendors.

We have subsidiaries and associates in a number of locations, including Hong Kong, mainland China, Taiwan, Macau, Thailand, Singapore, Malaysia, Europe and the United States.

Since our founding in 1973 and our subsequent public listing on the Stock Exchange of Hong Kong Limited in 1997 under the name of Automated Systems Holdings Limited (“The ASL Group”) (HKEx stock code: 771), we are well recognized as a leading global IT solutions and services provider for organizations of all sizes and across all industries.

The ASL Group’s ultimate controlling shareholder is Beijing Teamsun Technology Co. Ltd. (“Teamsun”) whose shares are listed on the Shanghai Stock Exchange (Stock Code: 600410). The Group is a member of the Teamsun Group which recorded turnover with over RMB 5.0 billion and has over 5,000 employees.

With over 2,000 regional employees and an extensive network of leading global partners with whom we have invested heavily over many years, we are able to offer customers a wide range of innovative solutions and services tailored to their specific business needs.

For details, please visit to our company web site at http://www.asl.com.hk/

Job Responsibilities:
To handle the internal purchase requisition processing and invoice settlement

To assist in overall project planning, resources allocation

To co-ordinate with internal and external parties on project scheduling, document updating and submission

To monitor the project progress against the project plan

To provide updated project status to customer and Project team

To prepare meeting minutes, delivery note, collection note and necessary documents

To prepare reports including but not limited to Project Progress Report, Weekly Activities Report, Analysis Report….

Data entry and record keeping

To provide all rounded administrative support to the team to ensure smooth operation

Perform ad-hoc tasks as assigned

Requirement:
Secondary education or above with at least 1 year project co-ordination / administration experience

Fresh Graduates are also welcome

Pleasant, polite and good telephone manner and communication skill

Detail-oriented and Self-motivated with a strong sense of responsibility

Good time management and sense of escalation

Able to handle multi-tasks and work independently

Able to work under pressure and good team player;

Equipped with IT skill / knowledge will be definitely an advantage

Proficient in MS Word, Excel & PowerPoint etc.

Good command of written and spoken English and Fluency in Cantonese

Immediately available is preferred

Working Location:
Sha Tin

Working Hour:
9 am- 5:30pm, Monday- Friday

We offer 5-day week, excellent career opportunities, remuneration and benefits to the right candidates. If you have the desire for an exciting and rewarding career, please send us your resume, stating your notice period, present and expected salary to Human Resources Department by clicking ""Apply Now"".

To learn us more, please visit our website: www.asl.com.hk

We are an equal opportunity employer. All applications will be treated in strict confidence. We regret that only shortlisted candidates will be notified. All personal data will be destroyed within six months after the selection process.

Full-time,Contract,Permanent",Automated Systems (H.K.) Limited
83,Event Marketing Assistant,"Are you a recent graduate eager to gain hands-on experience in communication and leadership? We invite you to join our team!

Job Description:

- Responsible for selling and promoting company products or services

- Develop new customers and maintain existing customer relationships

- Understand customer needs and provide appropriate solutions

- Collaborate with internal teams to ensure customer needs are met

Requirements:

- Excellent communication and negotiation skills in Cantonese

- Proactive work attitude and strong teamwork abilities

- Good time management and organizational skills

- Problem-solving skills and a customer service-oriented mindset

- Fluent in spoken and written Chinese

- Sales experience is a plus

Job Types: Full-time, Part-time, Internship

Salary: $15,000.00 - $20,000.00 per month

Schedule:

Monday to Friday
Weekend Availability

Supplemental pay types:

13th month salary
Commission pay
Performance bonus

Language:

Cantonese (Preferred)",Achievers Marketing
84,Business Support Executive (Fresh Graduates Welcome),"This is an assistant role that streamlines the sales process, provides support to the sales team, and plays a key role in analyzing sales data.

Geek+ is an advanced robotics technology company specialized in smart logistic solutions. Founded in 2015 and headquartered in Beijing, China, the company has become the largest independent logistics robotics company worldwide, with over 300 projects globally. Clients include Fortune 500 companies, and leaders in retail, apparel, automotive, ecommerce, manufacturing and more. Geek+ has over 1500 employees and offices in China, Japan, Hong Kong, Singapore, Germany, the UK and the US.
Geek+ is looking for a Business Support Executive to join our team. Are you someone who is driven by curiosity, and craves a good challenge? Join us and be part of this exciting adventure!

What you have to do
Assist in hosting regular sales meetings with relevant stakeholders to review the sales progress of the APAC region, closely monitor sales performance, and provide support to overseas teams in achieving designated sales targets
Conduct data analysis to identify trends, patterns, and opportunities for sales growth. Utilize sales forecasting techniques to provide valuable insights into future sales performance, and generate sales performance and overall business reports on a regular basis
Streamline internal systems and processes to enhance operational efficiency and effectiveness. Utilize sales tools such as CRM to optimize sales processes and improve team productivity
Assist in hosting sales training sessions to disseminate sales policies and processes and create (and review) Standard Operating Procedures (SOPs)
Provide essential business support to the sales team, including facilitating internal processes, resolving issues, troubleshooting, and other related responsibilities
Assist in various ad hoc projects and events as assigned, contributing to the overall success of the sales team and the company
What you need to have
Bachelor's degree in Statistics, Business Administration, Sales & Marketing, or a related field
Fresh graduates with part-time and/or internship experience in data management and analysis
Self-motivated, able to work independently, and possess strong people management, communication and negotiation skills
Experience in using any sales tools and/or CRM software is highly preferred
Good command of spoken and written English and Mandarin
What we offer
5-day work week
Young and energetic work culture with global exposure
Opportunities for global mobility
Double pay and attractive performance bonus
Medical and dental coverage
14 to 21 days of Annual Leave entitlement
Cozy office environment with light refreshments
Convenient work location: Kowloon Commerce Centre, Kwai Chung

If your qualifications, experience, and aspirations match our requirements, please send your resume with your current and expected salary to us. All information and materials submitted to Geek+ will remain strictly confidential and be treated for recruitment purposes only. Only short-listed candidates will be notified.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",Geek Plus International Company Limited
85,Graduate Engineer / Assistant Engineer,"Shun Yuen Construction Company Limited established in 1970's, a medium-sized enterprise engaging in construction works in Hong Kong for over 30 years. With our major in local Civil Engineering Public Works, we have achieved an enviable reputation in civil maintenance fields for quality works, efficient management, business integrity and continuing improvement. Shun Yuen pursues excellency in quality, safety and environmental protection while providing services and cooperates with our valued clients and attributes to the success. Shun Yuen performs an integral part of the Hong Kong's story of success in the construction industry.

Responsibilities:
Assist Manager in carrying out duties for maintenance works

Assist in the general administration of the Contract

Prepare and submit the programme/ progress/ completion reports, records and coordination works

Work in AutoCad/Microstation Drawings

Handle ad-hoc duties as assigned

Requirements:
Higher Diploma in the field of civil engineering or an equivalent qualification

knowledge in drafting with AutoCad / Microstation

Have driving license is advantage

Immediate availability is highly preferred

Fresh Graduate will also be considered.

All personal data collected will be used for recruitment purposes only.

Applicants who are not invited for an interview within 8 weeks may consider their applications unsuccessful.

Interested parties please send full resume to e-mail [email redacted, apply via Company website] for the attention of Ms Candy Liu.

Full-time,Permanent",Shun Yuen Construction Company Limited
86,Assistant Relationship Manager - Insurance (Welcome Fresh Graduate!),"We are currently seeking a high-caliber talent to join our Relationship Management Team.

About the Role:

Create a holistic customer experience to our members, cultivate long-term relationships
Support occasional face-to-face (F2F) sales, administration, and roadshows/ events as per business needs
Achieve sales target
Handle different engagement projects, and resolve client issues in a professional and timely manner
Manage inquires and enrollments from the Online-to-Offline (O2O) platform
Handle after-sales services, such as policy confirmation calls, and up-/cross-selling of other products
Prepare regular performance reports and analysis for management review
Perform other assigned ad-hoc duties

Work Hours & Location:

Shift duty from Monday to Friday (9:00am – 7:00pm), 5 days and 40 hours per week
Mei Foo (near MTR station)
Willing to occasionally work on weekends and public holidays as per business needs

About You:

Creative, committed, adaptable, and not afraid of putting yourself out there
Keen to develop influencing skills and want to make a positive impact
A self-starter and possess a positive attitude – you like to get things done and make things happen
Passed IIQE Paper 1,3 (Paper 2 will be an advantage)
A team player with good interpersonal skills, good command of written and spoken English and Chinese
Proficiency in MS Office and Chinese Word Processing, tech savvy and interested in AI is an advantage
Previous experience in sales, tied agent, or customer service is a plus
Passion in further development in sales / relationship management is preferred
Fresh graduates with matching attitude and ready to build a sustainable career will also be considered

If any or all of these resonate with you, we’d love for you to apply!

We Offer:

14 days’ paid annual leave
Comprehensive medical and dental coverage
Basic salary with competitive commission, plus attractive incentives
Structured training programme
Staff discount
Clear and excellent career path

工作類型: 全職, 兼職

薪酬： 每月 $25,000.00 起

預期時數：每週 40 小時

工作時間：

星期一至星期五

福利：

員工購物優惠
在職專業培訓
彈性上班時間
晉升機會
有薪年假
有薪病假
牙科保險
產假
醫療保險

補充薪酬類型：

佣金
年終獎金",HKT Teleservices
87,"Associate, Remittance & Deposits","Responsibilities: -


Perform transactions including Remittance, Cheque Clearing, Time Deposit etc.
Handle project as assigned
Liaise...
Responsibilities: -

Perform transactions including Remittance, Cheque Clearing, Time Deposit etc.
Handle project as assigned
Liaise with other departments (e.g. Compliance, Relationship Manager) for other operation issues
Requirements: -

Diploma or above
At least 2 years of solid experience in bank remittance field
Previous experience in AML/KYC field in banking section would be an advantage
Ability to work independently and under pressure
Proficient in MS Office (MS Word, Excel)
Fluency in Mandarin and English
Good writing skills in both Chinese and English.
(Fresh graduates welcome)
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time","Yuanta Commercial Bank Co., Ltd. (Hong Kong Branch)"
88,Cloud Application Support Engineer - Operation & Support (Fresh Graduate welcome),"Founded in 1998, Shiji’s aim is to become a “big data” application service platform operator. Shiji has become the leading manufacturer of Chinese hotel information systems after three successful transformations. At the same time, Shiji is gradually expanding from hotel to catering and retail industries, becoming the major software supplier to both industries. Now, Shiji is responsible for approximately 60% to 70% of the market share in the high end sector of hotel and retail industries, and possesses a leading position in the catering industry. The estimated annual revenue of Shiji clients can be more than RMB 5 trillion. Shiji has completed three successful transformations since its establishment. It is now experiencing the 4th transformation dedicating to be a “big data” driven consumer application service platform operator. Shiji has introduced consulting, IT solutions and data platform services. Meanwhile, Shiji is developing worldwide leading products and technologies aiming for the international market and speeding up its globalization progress. Currently Shiji has more than 50 subsidiaries located in major Chinese cities and overseas markets (Singapore and Munich) with over 3,000 employees.

For further information about us, please visit http://www.shijigroup.com/.

Responsibilities:
7x24 roster duty at office/WFH

Provide tertiary level application support for global implementations on our innovative Cloud-based Applications for Hotels, Theme Parks, and Restaurants

Perform operation and troubleshooting on cloud application environment, including maintenance, migration and daily admin operations

Provide immediate assistance on incidents reported

Develop tools for cloud operations and maintenance

Perform regular health check on cloud environment

Write and maintain operation documentation

Work closely with Application Development Team and Infrastructure Team

Work on Agile Scrum methodology

Requirements:
Higher diploma/Bachelor Degree holder in Computer Science, Computer Engineering or related disciplines

Experience in Amazon Web Services, Microsoft Azure or Google Cloud Platform is a plus

Experience in Linux is a plus

Shift work is required

Good communication skills

A good team player, self-motivation and able to work independently under pressure

Good command of both spoken and written English and Chinese. Mandarin is an advantage

Fresh Graduates are welcome

We Offer:
Competitive salary and annual leave

On-the-job training

Medical & Dental Insurance and Annual Health Check-up

Performance bonus

Free snack & Beverage

29"" Monitor, i7, SSD development env

Interested parties please click ""Apply Now"" and attach your updated resume with date of availability and expected salary.

Personal information collected will be used for recruitment purpose only and will be kept strictly confidential for six months.

Full-time,Permanent",Shiji Information Technology (Hong Kong) Limited
89,Finance Executive / Accounting Clerk ( Fresh graduates welcome),"Our client is an MNC company that is listed in the 1st Section of the Tokyo Stock Exchange.

Responsibilities:

Responsible for daily accounting functions
Responsible for reconciliation including bank rec
Responsible for full set accounts including A/P

Requirements:

Diploma / Cert. / LCC Intermediate in accounting or equivalent
0-2 years of accounting working experience
Can handle daily communications with emails in written English
Proficient in office productivity tools (e.g. Excel, Word)
Fluency in Cantonese and English, both written and spoken
Fresh graduates will also be considered

Job Types: Full-time, Permanent

Salary: Up to $19,000.00 per month

Benefits:

Dental insurance
Medical Insurance

Schedule:

Monday to Friday

Supplemental pay types:

13th month salary
Performance bonus",Omnisource
